accommodates,bedrooms,beds,bathrooms,rating,neighbourhood,room_type,bath_type,price
2,0.0,1.0,1.0,4.69,Loyal Heights,Entire home/apt,standard,127.0
4,2.0,2.0,2.0,4.91,Fremont,Entire home/apt,standard,132.0
4,2.0,2.0,1.0,5.0,Maple Leaf,Entire home/apt,standard,112.0
3,1.0,1.0,1.5,4.94,Belltown,Entire home/apt,standard,123.0
4,1.0,2.0,1.0,4.83,Belltown,Entire home/apt,standard,110.0
4,2.0,2.0,2.0,4.9,Mann,Entire home/apt,standard,152.0
4,2.0,2.0,1.0,4.93,Matthews Beach,Entire home/apt,standard,180.0
5,2.0,3.0,2.5,4.83,Fairmount Park,Entire home/apt,standard,210.0
4,2.0,2.0,1.0,4.82,Highland Park,Entire home/apt,standard,153.0
2,0.0,2.0,1.0,4.74,Fremont,Private room,shared,81.0
2,1.0,2.0,1.0,4.71,Wallingford,Entire home/apt,standard,80.0
6,3.0,3.0,2.0,4.9,Lower Queen Anne,Entire home/apt,standard,234.0
5,2.0,2.0,1.0,4.64,South Beacon Hill,Entire home/apt,standard,154.0
3,1.0,2.0,1.0,4.78,University District,Entire home/apt,standard,97.0
2,1.0,1.0,1.0,5.0,Mid-Beacon Hill,Private room,private,54.0
2,0.0,1.0,1.0,4.66,Yesler Terrace,Entire home/apt,standard,99.0
4,1.0,2.0,1.0,4.92,East Queen Anne,Entire home/apt,standard,220.0
5,2.0,2.0,1.0,4.85,North Beacon Hill,Entire home/apt,standard,140.0
6,2.0,3.0,2.0,4.7,West Woodland,Entire home/apt,standard,129.0
4,1.0,3.0,1.0,4.76,First Hill,Entire home/apt,standard,99.0
2,0.0,1.0,1.0,4.77,Whittier Heights,Private room,private,50.0
6,2.0,4.0,2.0,4.39,Central Business District,Entire home/apt,standard,156.0
2,0.0,1.0,1.0,4.8,Whittier Heights,Private room,private,107.0
2,0.0,1.0,1.0,4.74,Whittier Heights,Private room,private,61.0
2,0.0,1.0,1.0,4.73,Whittier Heights,Private room,private,62.0
2,0.0,1.0,1.0,4.69,Whittier Heights,Private room,private,54.0
2,1.0,1.0,1.0,4.93,West Woodland,Entire home/apt,standard,93.0
2,0.0,1.0,1.0,4.7,Whittier Heights,Private room,private,72.0
2,0.0,1.0,1.0,4.77,Whittier Heights,Private room,private,80.0
6,3.0,3.0,2.0,4.93,Roosevelt,Entire home/apt,standard,253.0
2,1.0,1.0,1.0,4.88,Broadway,Entire home/apt,standard,109.0
2,0.0,1.0,1.0,4.76,Broadway,Entire home/apt,standard,97.0
2,0.0,1.0,1.0,4.67,Roosevelt,Entire home/apt,standard,121.0
3,1.0,2.0,1.0,4.94,North Admiral,Entire home/apt,standard,115.0
2,0.0,1.0,1.0,4.62,Roosevelt,Entire home/apt,standard,121.0
2,0.0,1.0,1.0,4.75,Roosevelt,Entire home/apt,standard,121.0
4,2.0,3.0,1.0,4.97,Seward Park,Entire home/apt,standard,200.0
8,2.0,5.0,1.5,4.65,University District,Entire home/apt,standard,133.0
8,3.0,4.0,3.5,4.92,Atlantic,Entire home/apt,standard,136.0
5,2.0,2.0,2.0,4.97,Broadway,Entire home/apt,standard,157.0
